Symptom.PriorTimepoint,Symptom.LaterTimepoint,Corr,Comparison
Fatigue,Fatigue,0.991759911,Acute vs 6-month
Fatigue,Headache,0.082700537,Acute vs 6-month
Fatigue,Body aches,-0.292726894,Acute vs 6-month
Fatigue,Difficult breating,-0.097453283,Acute vs 6-month
Fatigue,Loss or alter taste/smell,-0.574514671,Acute vs 6-month
Fatigue,Joint pain,-0.188976183,Acute vs 6-month
Fatigue,Vertigo/dizzy,0.882269129,Acute vs 6-month
Fatigue,Lower vision,0.049442539,Acute vs 6-month
Fatigue,Brain fog,0.726845847,Acute vs 6-month
Fatigue,Hair loss,-0.109061945,Acute vs 6-month
Fatigue,Gastrointestinal,-0.719645645,Acute vs 6-month
Fatigue,Difficult sleeping,-0.921541386,Acute vs 6-month
Headache,Fatigue,-0.163562746,Acute vs 6-month
Headache,Headache,0.834418106,Acute vs 6-month
Headache,Body aches,-0.312595537,Acute vs 6-month
Headache,Difficult breating,0.253408331,Acute vs 6-month
Headache,Loss or alter taste/smell,0.741220914,Acute vs 6-month
Headache,Joint pain,-0.383188696,Acute vs 6-month
Headache,Vertigo/dizzy,0.000412448,Acute vs 6-month
Headache,Lower vision,-0.320474766,Acute vs 6-month
Headache,Brain fog,0.72482287,Acute vs 6-month
Headache,Hair loss,0.281945721,Acute vs 6-month
Headache,Gastrointestinal,-0.131263395,Acute vs 6-month
Headache,Difficult sleeping,-0.686614513,Acute vs 6-month
Body aches,Fatigue,-0.752544765,Acute vs 6-month
Body aches,Headache,-0.034172023,Acute vs 6-month
Body aches,Body aches,0.33332874,Acute vs 6-month
Body aches,Difficult breating,0.120182042,Acute vs 6-month
Body aches,Loss or alter taste/smell,-0.406116008,Acute vs 6-month
Body aches,Joint pain,-0.079776971,Acute vs 6-month
Body aches,Vertigo/dizzy,-0.697669507,Acute vs 6-month
Body aches,Lower vision,0.938900375,Acute vs 6-month
Body aches,Brain fog,0.758060141,Acute vs 6-month
Body aches,Hair loss,-0.20572971,Acute vs 6-month
Body aches,Gastrointestinal,0.722806266,Acute vs 6-month
Body aches,Difficult sleeping,0.361069737,Acute vs 6-month
Difficult breating,Fatigue,0.560922073,Acute vs 6-month
Difficult breating,Headache,-0.845024349,Acute vs 6-month
Difficult breating,Body aches,-0.837307247,Acute vs 6-month
Difficult breating,Difficult breating,0.740942457,Acute vs 6-month
Difficult breating,Loss or alter taste/smell,0.118243326,Acute vs 6-month
Difficult breating,Joint pain,-0.974091841,Acute vs 6-month
Difficult breating,Vertigo/dizzy,-0.565921138,Acute vs 6-month
Difficult breating,Lower vision,0.225431939,Acute vs 6-month
Difficult breating,Brain fog,-0.511789079,Acute vs 6-month
Difficult breating,Hair loss,0.796123985,Acute vs 6-month
Difficult breating,Gastrointestinal,-0.29272327,Acute vs 6-month
Difficult breating,Difficult sleeping,-0.229527597,Acute vs 6-month
Loss or alter taste/smell,Fatigue,0.184889275,Acute vs 6-month
Loss or alter taste/smell,Headache,0.412862555,Acute vs 6-month
Loss or alter taste/smell,Body aches,0.109296617,Acute vs 6-month
Loss or alter taste/smell,Difficult breating,-0.700266594,Acute vs 6-month
Loss or alter taste/smell,Loss or alter taste/smell,0.388883926,Acute vs 6-month
Loss or alter taste/smell,Joint pain,-0.76404539,Acute vs 6-month
Loss or alter taste/smell,Vertigo/dizzy,-0.260370845,Acute vs 6-month
Loss or alter taste/smell,Lower vision,0.027221269,Acute vs 6-month
Loss or alter taste/smell,Brain fog,-0.444951553,Acute vs 6-month
Loss or alter taste/smell,Hair loss,-0.289877526,Acute vs 6-month
Loss or alter taste/smell,Gastrointestinal,-0.240300108,Acute vs 6-month
Loss or alter taste/smell,Difficult sleeping,-0.419226251,Acute vs 6-month
Joint pain,Fatigue,0.958484868,Acute vs 6-month
Joint pain,Headache,-0.611628253,Acute vs 6-month
Joint pain,Body aches,-0.078862615,Acute vs 6-month
Joint pain,Difficult breating,-0.259006044,Acute vs 6-month
Joint pain,Loss or alter taste/smell,0.776854479,Acute vs 6-month
Joint pain,Joint pain,-0.514285768,Acute vs 6-month
Joint pain,Vertigo/dizzy,0.0588964,Acute vs 6-month
Joint pain,Lower vision,0.677361158,Acute vs 6-month
Joint pain,Brain fog,-0.698023414,Acute vs 6-month
Joint pain,Hair loss,-0.185613738,Acute vs 6-month
Joint pain,Gastrointestinal,0.207328884,Acute vs 6-month
Joint pain,Difficult sleeping,-0.862097005,Acute vs 6-month
Vertigo/dizzy,Fatigue,0.550291558,Acute vs 6-month
Vertigo/dizzy,Headache,-0.744006963,Acute vs 6-month
Vertigo/dizzy,Body aches,-0.506346378,Acute vs 6-month
Vertigo/dizzy,Difficult breating,-0.276045993,Acute vs 6-month
Vertigo/dizzy,Loss or alter taste/smell,-0.217215438,Acute vs 6-month
Vertigo/dizzy,Joint pain,-0.84403604,Acute vs 6-month
Vertigo/dizzy,Vertigo/dizzy,0.69150677,Acute vs 6-month
Vertigo/dizzy,Lower vision,-0.044880122,Acute vs 6-month
Vertigo/dizzy,Brain fog,0.100924018,Acute vs 6-month
Vertigo/dizzy,Hair loss,-0.87268928,Acute vs 6-month
Vertigo/dizzy,Gastrointestinal,-0.659053371,Acute vs 6-month
Vertigo/dizzy,Difficult sleeping,0.879365713,Acute vs 6-month
Lower vision,Fatigue,-0.224328992,Acute vs 6-month
Lower vision,Headache,0.870581798,Acute vs 6-month
Lower vision,Body aches,0.295535789,Acute vs 6-month
Lower vision,Difficult breating,-0.714727665,Acute vs 6-month
Lower vision,Loss or alter taste/smell,-0.428705817,Acute vs 6-month
Lower vision,Joint pain,-0.876552562,Acute vs 6-month
Lower vision,Vertigo/dizzy,0.974372626,Acute vs 6-month
Lower vision,Lower vision,0.187426039,Acute vs 6-month
Lower vision,Brain fog,0.319103162,Acute vs 6-month
Lower vision,Hair loss,-0.683775858,Acute vs 6-month
Lower vision,Gastrointestinal,0.855192299,Acute vs 6-month
Lower vision,Difficult sleeping,0.948208585,Acute vs 6-month
Brain fog,Fatigue,0.270516902,Acute vs 6-month
Brain fog,Headache,0.518878005,Acute vs 6-month
Brain fog,Body aches,-0.76777608,Acute vs 6-month
Brain fog,Difficult breating,0.562013978,Acute vs 6-month
Brain fog,Loss or alter taste/smell,-0.397641098,Acute vs 6-month
Brain fog,Joint pain,0.009706368,Acute vs 6-month
Brain fog,Vertigo/dizzy,0.641114315,Acute vs 6-month
Brain fog,Lower vision,-0.423372549,Acute vs 6-month
Brain fog,Brain fog,-0.277350409,Acute vs 6-month
Brain fog,Hair loss,0.237747425,Acute vs 6-month
Brain fog,Gastrointestinal,0.623730062,Acute vs 6-month
Brain fog,Difficult sleeping,0.876018161,Acute vs 6-month
Hair loss,Fatigue,0.137557586,Acute vs 6-month
Hair loss,Headache,-0.593934773,Acute vs 6-month
Hair loss,Body aches,-0.30668019,Acute vs 6-month
Hair loss,Difficult breating,0.956029922,Acute vs 6-month
Hair loss,Loss or alter taste/smell,-0.987581308,Acute vs 6-month
Hair loss,Joint pain,0.521471736,Acute vs 6-month
Hair loss,Vertigo/dizzy,-0.388906877,Acute vs 6-month
Hair loss,Lower vision,0.95776614,Acute vs 6-month
Hair loss,Brain fog,-0.382371353,Acute vs 6-month
Hair loss,Hair loss,0.398464966,Acute vs 6-month
Hair loss,Gastrointestinal,0.906195568,Acute vs 6-month
Hair loss,Difficult sleeping,-0.068597845,Acute vs 6-month
Gastrointestinal,Fatigue,0.743892606,Acute vs 6-month
Gastrointestinal,Headache,0.340108481,Acute vs 6-month
Gastrointestinal,Body aches,0.396807893,Acute vs 6-month
Gastrointestinal,Difficult breating,0.758930857,Acute vs 6-month
Gastrointestinal,Loss or alter taste/smell,0.061971286,Acute vs 6-month
Gastrointestinal,Joint pain,-0.371490883,Acute vs 6-month
Gastrointestinal,Vertigo/dizzy,-0.928346585,Acute vs 6-month
Gastrointestinal,Lower vision,0.153608238,Acute vs 6-month
Gastrointestinal,Brain fog,-0.536973108,Acute vs 6-month
Gastrointestinal,Hair loss,-0.742151828,Acute vs 6-month
Gastrointestinal,Gastrointestinal,-0.418927392,Acute vs 6-month
Gastrointestinal,Difficult sleeping,0.624744517,Acute vs 6-month
Difficult sleeping,Fatigue,0.895277068,Acute vs 6-month
Difficult sleeping,Headache,0.812396058,Acute vs 6-month
Difficult sleeping,Body aches,0.282411799,Acute vs 6-month
Difficult sleeping,Difficult breating,-0.362870279,Acute vs 6-month
Difficult sleeping,Loss or alter taste/smell,0.674108907,Acute vs 6-month
Difficult sleeping,Joint pain,0.926636734,Acute vs 6-month
Difficult sleeping,Vertigo/dizzy,-0.14205605,Acute vs 6-month
Difficult sleeping,Lower vision,-0.950683579,Acute vs 6-month
Difficult sleeping,Brain fog,-0.167974619,Acute vs 6-month
Difficult sleeping,Hair loss,-0.23654054,Acute vs 6-month
Difficult sleeping,Gastrointestinal,-0.199421193,Acute vs 6-month
Difficult sleeping,Difficult sleeping,-0.910132185,Acute vs 6-month
Fatigue,Fatigue,0.572288768,6-month vs 12-month
Fatigue,Headache,0.947494405,6-month vs 12-month
Fatigue,Body aches,0.202789414,6-month vs 12-month
Fatigue,Difficult breating,-0.894338918,6-month vs 12-month
Fatigue,Loss or alter taste/smell,0.58980856,6-month vs 12-month
Fatigue,Joint pain,-0.010434506,6-month vs 12-month
Fatigue,Vertigo/dizzy,-0.877799917,6-month vs 12-month
Fatigue,Lower vision,-0.651862238,6-month vs 12-month
Fatigue,Brain fog,-0.381672352,6-month vs 12-month
Fatigue,Hair loss,-0.794344954,6-month vs 12-month
Fatigue,Gastrointestinal,0.711480951,6-month vs 12-month
Fatigue,Difficult sleeping,0.09090011,6-month vs 12-month
Headache,Fatigue,-0.674722733,6-month vs 12-month
Headache,Headache,-0.61174862,6-month vs 12-month
Headache,Body aches,0.891772356,6-month vs 12-month
Headache,Difficult breating,-0.768340447,6-month vs 12-month
Headache,Loss or alter taste/smell,0.721291203,6-month vs 12-month
Headache,Joint pain,-0.808224547,6-month vs 12-month
Headache,Vertigo/dizzy,-0.720151803,6-month vs 12-month
Headache,Lower vision,0.618316827,6-month vs 12-month
Headache,Brain fog,0.84868364,6-month vs 12-month
Headache,Hair loss,-0.686343089,6-month vs 12-month
Headache,Gastrointestinal,-0.639505257,6-month vs 12-month
Headache,Difficult sleeping,0.83844853,6-month vs 12-month
Body aches,Fatigue,-0.597174831,6-month vs 12-month
Body aches,Headache,-0.717453304,6-month vs 12-month
Body aches,Body aches,-0.445466926,6-month vs 12-month
Body aches,Difficult breating,-0.043459255,6-month vs 12-month
Body aches,Loss or alter taste/smell,-0.034767261,6-month vs 12-month
Body aches,Joint pain,-0.82733809,6-month vs 12-month
Body aches,Vertigo/dizzy,0.542092668,6-month vs 12-month
Body aches,Lower vision,-0.69151726,6-month vs 12-month
Body aches,Brain fog,0.514512825,6-month vs 12-month
Body aches,Hair loss,-0.951691264,6-month vs 12-month
Body aches,Gastrointestinal,0.973765434,6-month vs 12-month
Body aches,Difficult sleeping,0.10966055,6-month vs 12-month
Difficult breating,Fatigue,0.627862462,6-month vs 12-month
